,text,label
32,Each Party shall ensure that a person subject to investigation is afforded the opportunity to be heard and to present evidence in a hearing. Each Party shall also provide a person subject to the imposition of a sanction or remedy for violation of its competition laws with the opportunity to raise complaint about the sanction or remedy through administrative and judicial review in accordance with its competition laws,1.0
33,Each Party shall maintain an operationally independent authority with adequate human and financial resources in order to effectively enforce the competition laws referred to in Article 333(2),1.0
34,"State aid granted by the Union or the Republic of Moldova, or through the resources of one of the Parties, in any form whatsoever, which distorts or threatens to distort competition by favouring certain undertakings or the production of certain goods and services and which affects trade between the Parties, shall be incompatible with this Agreement",1.0
35,"Each Party shall adopt or maintain measures to proscribe anticompetitive activities and shall take appropriate enforcement action pursuant to those measures, recognizing that such measures will enhance the fulfilment of the objectives of this Agreement",1.0
36,"Each Party shall ensure that the measures referred to in paragraph 1, and the enforcement actions pursuant to those measures, are applicable on a nondiscriminatory basis",1.0
37,"Each Party shall ensure that: (a) the measures it adopts or maintains to proscribe anticompetitive activities, which implement the obligations set out in this Chapter, whether occurring before or after the coming into force of the Agreement, are published or otherwise publicly available; and (b) any modifications to any such measures occurring after the coming into force of this Agreement are notified to the other Party within 60 days, with advance notification to be provided where possible",1.0
38,"Each Party shall ensure that its judicial and quasijudicial proceedings to address anticompetitive activities are fair and equitable, and that in such proceedings, persons that are directly affected: (a) are provided with written notice when a proceeding is initiated; (b) are afforded an opportunity, prior to any final action in the proceeding, to have access to relevant information, to be represented, to make submissions, including any comments on the submissions of other persons, and to identify and protect confidential information; and (c) are provided with a written decision on the merits of the case",1.0
41,"If, at the entry into force of this Agreement, either Party has not yet adopted the necessary laws and regulations for the implementation of Article 35, in their jurisdictions it shall do so within a period of three years",1.0
43,"To ensure that technical cooperation under this Chapter occurs on an ongoing basis, the Parties shall designate contact points for technical cooperation and information exchange under this Chapter.",1.0
44,"Each Party shall establish or maintain its own publicly accessible website containing information regarding this Agreement, including: (a) the text of this Agreement, including all Annexes, tariff schedules and product specific rules of origin; (b) a summary of this Agreement; and (c) information designed for SMEs that contains: (i) a description of the provisions in this Agreement that the Party considers to be relevant to SMEs; and (ii) any additional information that the Party considers useful for SMEs interested in benefitting from the opportunities provided by this Agreement.",1.0
45,"Each Party shall include in its website links to: (a) the equivalent websites of the other Parties; and (b) the websites of its government agencies and other appropriate entities that provide information the Party considers useful to any person interested in trading, investing or doing business in that Partys territory.",1.0
46,"Subject to each Partys laws and regulations, the information described in paragraph 2(b) may include: (a) customs regulations and procedures; (b) regulations and procedures concerning intellectual property rights; (c) technical regulations, standards, and sanitary and phytosanitary measures relating to importation and exportation; (d) foreign investment regulations;  (e) business registration procedures; (f) employment regulations; and (g) taxation information. When possible, each Party shall endeavour to make the information available in English.",0.0
47,Each Party shall regularly review the information and links on the website referred to in paragraphs 1 and 2 to ensure that such information and links are up todate and accurate.,1.0
48,"Each Party shall apply and enforce its competition laws in a manner, which does not, in like circumstances, discriminate on the basis of nationality.",1.0
49,"Each Party shall ensure that before it imposes a sanction, or additional restrictive condition or any other remedy, whichever is applicable under the Partys 80 domestic laws, against any person for violating its competition laws, it affords that person a reasonable opportunity to present opinion or evidence in its defence.",1.0
50,"Each Party shall provide any person that is subject to the imposition of a sanction, or additional restrictive condition or any other remedy, whichever is applicable under the Partys domestic laws, for violation of its competition laws, with the opportunity to seek review of the sanction, or additional restrictive condition or any other remedy under that Party's laws.",1.0
52,The areas of cooperation pursuant to Article 112 above may include the following:,0.0
54,Each Party shall take reasonable steps to ensure that information referred to in paragraph 2 is accurate and uptodate. 1,1.0
56,The Parties through their respective competition authorities will seek a cooperation agreement after the date of the entry into force of this Agreement.,1.0
57,"Unless providing notice would harm its important interests, a Party  shall notify another Party when a proposed or actual competition law  enforcement action may have an effect on that other Party’s important  interests, and give full and sympathetic consideration to the views  expressed by that other Party, including possible ways of fulfilling  its enforcement needs without harming those interests",1.0
58,"If a Party considers that any specified anticompetitive business  conduct carried out within the territory of another Party is adversely  affecting an important interest referred to in paragraph 2, that Party  may notify the other Party and may request that the Party or its  competition authority initiate appropriate enforcement action",0.0
59,The notifying Party shall include in its notification sufficient  information to permit the notified Party to identify the  anticompetitive business conduct that is the subject of the  notification and shall include an offer to provide such further  information and cooperation as the notifying Party is able to  provide. The notified Party may consult with the notifying Party and  shall accord full and sympathetic consideration to the request of the  notifying Party in deciding whether to initiate enforcement action  with respect to the anticompetitive business conduct identified in  the notification. The Parties may conduct such consultations through  their respective competition authorities,1.0
60,"The notified Party shall inform the notifying Party of its decision  and may include the grounds for the decision. If enforcement action is  initiated, the notified Party shall advise the notifying Party of its  outcome and, to the extent possible, of any significant interim  development. The Parties may act under this paragraph through their  respective competition authorities",1.0
61,"The Parties shall make best efforts to cooperate, subject to their national laws and through their competent authorities, on issues concerning competition law enforcement",0.0
62,Each Party shall notify another Party of competition enforcement activities that may affect important interests of the other Party. Notifications shall be sufficiently detailed to enable the notified Party to make an initial evaluation of the effect of the enforcement activity within its territory,1.0
64,"If a Party considers that an anticompetitive practice carried out within the territory of another Party has a substantially adverse effect within its territory or on trade relations between the Parties, it may request that the other Party initiate appropriate enforcement activities. The request shall be as specific as possible about the nature and the effect of the anticompetitive practice. The requested Party shall consider whether to initiate an enforcement activity with respect to the anticompetitive practice identified in the request, and shall advise the requesting Party of its decision and of the outcome of such activity",0.0
66,"The Parties shall make best efforts to cooperate, subject to their national laws and through their competent authorities, on issues concerning competition law enforcement",0.0
67,Each Party shall notify another Party of competition enforcement activities that may affect important interests of that Party. Notifications shall be sufficiently detailed to enable the notified Party to make an initial evaluation of the effect of the competition enforcement activity within its territory,1.0
69,"If a Party considers that an anticompetitive practice carried out within the territory of another Party has a substantially adverse effect within its territory or on trade relations between the Parties, it may request that the other Party initiate appropriate enforcement activities. The request shall be as specific as possible about the nature and the effect of the anticompetitive practice. The requested Party shall consider whether to initiate an enforcement activity with respect to the anticompetitive practice identified in the request, and shall advise the requesting Party of its decision and of the outcome of such activity",0.0
71,"The Parties shall establish a working group comprising representatives of each Party.  The working group shall endeavor to promote greater understanding, communication, and cooperation between the Parties with respect to matters covered by this Chapter.  The working group shall report on the status of its efforts to the Commission within three years of entry into force of this Agreement and may make any appropriate recommendations for future action that may further promote the achievement of the objectives of this Article",1.0
72,"Each Party, through its competition authority, may notify the competition authority of the other Party of an enforcement activity if it considers that such enforcement activity may substantially affect important interests of the other Party",0.0
73,The competition authority of one Party may notify the other Party’s competition authority of its willingness to coordinate enforcement activities with respect to a specific case. This coordination shall not prevent the Parties from taking autonomous decisions,0.0
74,"To such end, each Party shall adopt and maintain measures to prohibit anticompetitive trade practices and shall apply the appropriate enforcement mechanisms under those measures, recognizing that such measures will contribute to the fulfillment of the objectives as set forth in this Agreement",1.0
75,"A Party may at any time request discussions with the other Party on the development of any new measures related to controlling anticompetitive practices that may affect their economic development, whether these are specific or of general application",0.0
76,The other Party shall respond promptly to any request for discussions,1.0
77,"The Parties shall establish a working group comprising representatives of each Party.  The working group shall endeavor to promote greater understanding, communication, and cooperation between the Parties with respect to matters covered by this Chapter.  The working group shall report on the status of its efforts to the Commission within three years of entry into force of this Agreement and may make any appropriate recommendations for future action that may further promote the achievement of the objectives of this Article",1.0
78,Each Competition Authority may inform the other Competition  Authorities of its willingness to cooperate with respect to  enforcement activity. This cooperation shall not prevent the Parties  or the Signatory CARIFORUM States from taking autonomous decisions,0.0
79,"With a view to facilitating the effective application of their  respective competition laws, the Competition Authorities may exchange  nonconfidential information. All exchange of information shall be  subject to the standards of confidentiality applicable in each Party  and the Signatory CARIFORUM States",0.0
80,"Any Competition Authority may inform the other Competition  Authorities of any information it possesses which indicates that  anticompetitive business practices falling within the scope of this  Chapter are taking place in the other Party's territory. The  Competition Authority of each Party shall decide upon the form of the  exchange of information in accordance with its best practices. Each  Competition Authority may also inform the other Competition  Authorities of any enforcement proceeding being carried out by it in  the following instances:  (i) The activity being investigated takes place wholly or  substantially within the jurisdiction of any of the other Competition  Authorities;  (ii) The remedy likely to be imposed would require the prohibition of  conduct in the territory of the other Party or Signatory CARIFORUM  States;  (iii) The activity being investigated involves conduct believed to  have been required, encouraged or approved by the other Party or  Signatory CARIFORUM States",0.0
85,"The Parties shall work together to examine the scope for establishing greater bilateral recognition of foreign judgments of their respective judicial authorities obtained for the benefit of consumers, investors, or customers who have suffered economic harm as a result of being deceived, defrauded, or misled; and shall report on the feasibility and appropriateness of, and progress toward, greater recognition of such foreign judgments at the first meeting of the Joint Committee",1.0
86,Each Party shall designate one or more contact points for the purposes of this Chapter and shall provide details of such contact points to the other Party. The Parties shall notify each other promptly of any changes to the details of their contact points,1.0
87,"A Party, through its designated authority, may notify another Party of its willingness to coordinate enforcement activities with respect to a specific case. This coordination shall not prevent the Parties from taking autonomous decisions. For the purpose of this Chapter, “goods” shall mean goods classified in chapters 1 to 97 of the HS",0.0
88,Ukraine shall approximate its competition laws and enforcement practices to the part of the EU acquis as set out below: 1. Council Regulation (EC) No 1/2003 of 16 December 2002 on the implementation of the rules on competition laid down in Articles 81 and 82 of the Treaty. Timetable: Article 30 of the Regulation shall be implemented within three years of the entry into force of this Agreement,1.0
90,The competition authority of a Party may request cooperation from  the competition authority of another Party regarding enforcement  activities. This cooperation shall not prevent the Parties concerned  from taking independent decisions,0.0
91,"Whenever competition authorities exchange information pursuant to  this Article, they shall take into account the restrictions imposed by  their respective legislation",1.0
93,"The competition authority of a Party may request coordination from the competition authority of the other Party with respect to a specific case, when important interests of the requesting Party are substantially affected. This coordination shall not prevent the competition authority concerned from taking independent decisions",0.0
94,Each Party shall treat persons who are not persons of the Party no less favorably than persons of the Party in like circumstances in the competition law enforcement,1.0
95,Each Party shall ensure that: (a) a person subject to an investigation to determine whether conduct violates its competition laws or what administrative sanctions or remedies should be ordered for violation of such laws is afforded the opportunity to present opinion or evidence in its defense in the investigation process. (b) persons subject to the imposition of a sanction or remedy for violation of its competition laws should be given the opportunity to seek review of the sanction or remedy through administrative reconsideration and/or administrative lawsuit in accordance with each Party’s laws,1.0
96,"Each Party shall endeavor to, upon request of the other Party, provide information to facilitate effective enforcement of their respective competition laws, provided that it does not affect any ongoing investigation and is compatible with the laws and regulations governing the agencies possessing the information",0.0
97,Each Party shall maintain the confidentiality of any information provided as confidential by the competition authority of the other Party and shall not disclose such information to any entity that is not authorized by the Party providing information,1.0
98,"On request of a Party, each Party shall make available to the other Party public information concerning its exemptions and immunities to its competition laws, provided that the request specifies the particular goods or services and markets of concern, and includes indicia that the exemption or immunity may hinder trade liberalization between the Parties",1.0
99,"Each Party, through its competition authority, shall notify the competition authority of the other Party of an enforcement activity regarding anticompetitive practices in due course when the competition authority of a Party becomes aware that the important interests of the other Party are likely to be affected, provided that it is not contrary to each Party’s competition laws and does not affect any investigations being carried out",1.0
101,"After coming into force of the Competition Act of India in its entirety, consultations between the Parties and the respective competition authorities may be undertaken as appropriate on various matters relating to competition, including capacity building, exchange of information, notification procedures and principles of comity",0.0
102,"With a view to facilitating the effective enforcement of their respective competition laws, the competition authorities may exchange nonconfidential information. All exchange of information shall be subject to the standards of confidentiality applicable in each Party. Whenever the Parties exchange information under this Article, they shall take into account the limitations imposed by the requirements of professional and business secrecy in their respective jurisdictions",0.0
103,"The competent authorities of the Parties concerned shall cooperate and consult in their dealings with anticompetitive practices referred to in paragraph 1 of Article 10.1 (Rules of Competition), with the aim of putting an end to such practices or their adverse effects on trade, in a manner consistent with their domestic laws, rules and regulations",1.0
104,"Where a Party provides information to the other Party for the        purposes of implementing this Chapter, such information shall be        used by the latter Party only for such purposes and shall not be        disclosed or transferred to any other organisation and/or        individual without the consent of the Party providing the        information.              Notwithstanding any other provision of this Chapter, neither        Party is required to communicate information to the other Party        if such communication is prohibited by their respective laws and        regulations",1.0
105,"Each Party shall designate a contact point to monitor the          implementation of this Chapter. The contact points shall work          collaboratively to facilitate the implementation of the          provisions of this Chapter.                              The Parties shall exchange information containing the names of          the designated competent authorities that shall act as their          contact points and the contact details of relevant officials          in such organisations, including telephone and facsimile          numbers, email addresses and other relevant details.                              The Parties shall promptly notify each other of any change to          their contact points or relevant contact details",1.0
106,The competition authority of a Party may notify the other Party’s competition authority of its intention to coordinate enforcement activities with respect to a specific case. This coordination shall not prevent the Parties from taking autonomous decisions,0.0
109,"A Party shall notify the other Party of competition enforcement activities that may affect important interests of that other Party. Such activities may include investigations that involve: anticompetitive business conduct, remedies and seeking of information in the territory of the other Party, as well as mergers and acquisitions in which a party to the transaction is a company of a Party controlling a company established in the territory of the other Party. Notifications shall be sufficiently detailed to enable the notified Party to make an initial evaluation of the effect of the enforcement activity within its territory",1.0
110,"If a Party considers that an anticompetitive business conduct carried out within the territory of the other Party has an appreciable adverse effect within its territory, it may request that the other Party initiate appropriate enforcement activities. The request shall be as specific as possible about the nature of the anticompetitive business conduct and its effect within the territory of the requesting Party, and shall include an offer of such further information and other cooperation as the requesting Party is able to provide",0.0
111,"The requested Party shall carefully consider whether to initiate enforcement activities, or to expand ongoing enforcement activities, with respect to the anticompetitive business conduct identified in the request. The requested Party shall advise the requesting Party of the outcome of the enforcement activities and, to the extent possible, of significant interim developments",1.0
113,Such a request shall not prejudice any action under the requesting authority's competition laws that may be deemed necessary and shall not in any way encumber the addressed authority's decisionmaking powers or its independence,1.0
114,"Without prejudice to its respective functions, rights, obligations or independence, the competition authority so addressed shall consider and give careful attention to the views expressed and documentation provided by the requesting authority and, in particular, pay heed to the nature of the anticompetitive activities in question, the firm or firms involved, and the alleged harmful effect on the important interests of the aggrieved Party",1.0
116,"To address specific matters that arise under this Chapter, on request of one Party, the other Party shall enter into consultations with the requesting Party. In its request, the requesting Party shall indicate, if relevant, how the matter affects its important interests, including trade or investment between the Parties. The Party addressed shall accord full and sympathetic consideration to the concerns of the requesting Party. 4",1.0
117,"In order to foster understanding between the Parties, or to address specific matters that arise under this Chapter, on request of another Party, a Party shall enter into consultations with the requesting Party. In its request, the requesting Party shall indicate, if relevant, how the matter affects trade or investment between the Parties. The Party addressed shall accord full and sympathetic consideration to the concerns of the requesting Party. 6",1.0
119,"To foster mutual understanding between the Parties or to address specific matters that arise under Section A (AntiCompetitive Conduct and Mergers), Section B (Public Undertakings, Undertakings Entrusted with Special or Exclusive Rights and State Monopolies) or Section D (General Matters), each Party upon the request of the other Party, shall enter into consultations regarding representations made by the other Party. In its requests, the Party shall indicate, if relevant, how the matter affects trade between the Parties. EUSFTA Chapter 11  10 2. The Parties shall promptly discuss, upon the request of a Party, any questions arising from the interpretation or application of Section A (AntiCompetitive Conduct and Mergers), Section B (Public Undertakings, Undertakings Entrusted with Special or Exclusive Rights and State Monopolies) or Section D (General Matters).",1.0
120,"In order to foster understanding between the Parties, or to address specific matters that arise under this Chapter, on request of a Party, the requested Party shall enter into consultations with the requesting Party. In its request, the requesting Party shall indicate, if relevant, how the matter affects its important interests, including trade or investment between the Parties concerned. The requested Party shall accord full and sympathetic consideration to the concerns of the requesting Party.",1.0
123,"Information or documents exchanged between the Parties in relation to any consultation conducted pursuant to the provisions of this Chapter shall be kept confidential. No Party shall, except to comply with its domestic legal requirements, release or disclose such information or documents to any person without the written consent of the Party that provided such information or documents. Where the disclosure of such information or documents is necessary to comply with the domestic legal requirements of a Party, that Party shall notify the other Parties before such disclosure is made. The Parties may agree to the public release of information that they do not consider confidential.",1.0
124,"Where consultations under paragraph 1 concern conduct covered by Article 12.3.2(d)(ii), Singapore shall inform the United States of the steps it has taken or plans to take to examine the conduct at issue, shall apprise the United States when Singapores responsible authorities decide to initiate or not to initiate enforcement proceedings regarding the conduct, and shall keep the United States regularly apprised of developments in, and the results of, any enforcement proceedings it initiates.",1.0
125,If the competition authority of a Party considers that an investigation or proceeding being conducted by the competition authority of the other Party may adversely affect its important interests it may transmit its views on the matter to the other Party’s competition authority,0.0
126,"A Party, through its competition authority, may request consultations regarding the issues addressed in paragraph 1 as well as any other matter covered by this Chapter.  The requesting Party shall indicate the reasons for the request and whether any procedural time limit or other constraints require that consultations be expedited. Such consultations shall be without prejudice to the right of a Party so consulted to take any measure under its competition laws it deems appropriate",0.0
127,"Subject to the independence of each Party to develop, maintain and enforce its competition policy and legislation, the Parties, on request of a Party, shall enter into consultations to foster understanding between them, or to address a specific matter under this Chapter. The requesting Party shall indicate in its request how the matter affects trade or investment between the Parties. The other Party shall give full and sympathetic consideration to the concerns of the requesting Party",1.0
129,"The Parties shall promptly discuss, at the request of a Party, any  questions arising from the interpretation or application of this  Section",1.0
131,Paragraph 2 of Article 9 shall not apply to thisChapter,1.0
132,"To foster understanding between the Parties, or to address any matter arising under this Chapter, and without prejudice to the autonomy of each Party to develop, maintain and enforce its competition policy and legislation, a Party may request consultations within the Joint Committee. This request shall indicate the reasons for the consultations. Consultations shall be held promptly with a view to reaching a conclusion consistent with the objectives set forth in this Chapter. The Parties concerned shall give to the Joint Committee all the support and information needed, subject to the criteria and standards set out in paragraph 5 of Article  8.3 (Cooperation)",0.0
133,"To foster understanding between the Parties, or to address any matter arising under this Chapter and without prejudice to the autonomy of each Party to develop, maintain and enforce its competition policy and legislation, a Party may request consultations within the Joint Committee. This request shall indicate the reasons for the consultations. Consultations shall be held promptly with a view to reaching a conclusion consistent with the objectives set forth in this Chapter. The Parties concerned shall give to the Joint Committee all the support and information needed, subject to the criteria and standards set out in paragraph 5 of Article 8.3 (Cooperation)",0.0
135,Paragraph 1 of Article 5 and Chapter 14 shall not applyto this Chapter,1.0
138,The Party to which a request for consultations has been addressed shall accord full and sympathetic consideration to the concerns raised by the other Party,1.0
140,"Any information or documents exchanged between the Parties in relation to any mutual consultation conducted pursuant to the provisions of this Chapter shall be kept confidential.  Neither Party shall, except to comply with its domestic legal requirements, release or disclose such information or documents to any person without the written consent of the Party that provided such information or documents. Where the disclosure of such information or documents is necessary to comply with the domestic legal requirements of a Party, that Party shall notify the other Party before such disclosure is made",1.0
142,A Party may request consultations regarding any matter related to this Chapter. The request for consultations shall indicate the reasons therefore. Consultations shall be held promptly. Any Party may request that consultations continue within the Joint Committee in order to obtain its recommendations in relation to the issue at hand. The Party addressed shall provide all assistance required to examine the issue and seek a solution thereto,0.0
144,"On request of a Party, the Parties shall consult with a view to curtailing particular anticompetitive practices that affect trade or investment between the Parties",1.0
145,"Within three years of the entry into force of this Agreement, the Parties shall consult in order to review the scope and operation of this Chapter with a view to negotiating amendments to this Chapter that may be necessary to ensure the comprehensive protection in their respective territories of the legitimate commercial interests of businesses of the other Party",1.0
146,"In undertaking any consultations in accordance with Paragraph 2, the Parties shall also discuss the desirability of concluding arrangements for cooperation and mutual assistance in competition policy and enforcement, either as amendments to this Chapter or as separate arrangements between their respective competition authorities",1.0
147,"Any information or documents exchanged between the Parties in relation to any mutual consultation or review conducted pursuant to the provisions of this Chapter shall be kept confidential. Neither Party shall, except to comply with its domestic legal requirements, release or disclose such information or documents to any person without the written consent of the Party that provided such information or documents. Where the disclosure of such information or documents is necessary to comply with the domestic legal requirements of a Party, that Party shall notify the other Party before such disclosure is made",1.0
149,The Party to which a request for consultations has been addressed shall accord full and sympathetic consideration to the concerns raised by the Party having made the request,1.0
153,The Party to which a request for consultations has been addressed shall give full and sympathetic consideration to the concerns of the other Party,1.0
154,"Subject to the independence of each Party to develop, maintain and enforce its competition policy and legislation, the Parties, on request of a Party, shall enter into consultations to foster understanding between them, or to address a specific matter under this Chapter. The requesting Party shall indicate in its request how the matter affects trade or investment between the Parties. The other Party shall give full and sympathetic consideration to the concerns of the requesting Party",1.0
158,A Party may request consultations within the Joint Committee regarding the issues addressed in paragraphs 1 and 2 as well as any other matter covered by this Chapter. Such a request shall indicate the reasons for the request and whether any procedural time limit or other constraints require that consultations be expedited,0.0
160,"The Parties shall promptly discuss, at the request of either Party, any questions arising from the interpretation or application of this Section",1.0
162,"For the purposes of fostering understanding between the Parties or  addressing any specific issues arising under this Title, a Party, upon  request of another Party, shall accept the initiation of  consultations, without prejudice to pursuing any action in accordance  with its competition laws and while maintaining its full autonomy as  regards the final decision on the issues subject to consultations",1.0
164,The Party to which a request for consultations has been addressed shall give full and sympathetic consideration to the concerns of the other Party,1.0
166,"The Party to which a request for consultations has been addressed, shall accord full and sympathetic consideration to the concerns raised by the other Party",1.0
168,The Party to which a request for consultations has been addressed shall give full and sympathetic consideration to the concerns of the other Party,1.0
170,The Party to which a request for consultations has been addressed shall accord sympathetic consideration to the concerns of the other Party,1.0
171,"In the event that consultations in accordance with paragraph 1 do not lead to any satisfactory result, the affected Party may request consultations in the Commission. The Parties involved shall provide the necessary assistance to the Commission to examine the case",0.0
172,Paragraph 1 of Article 7 shall not apply to thisChapter,1.0
173,"To foster understanding between the Parties or to address any matter arising under this Chapter, a Party may request consultations within the Joint Committee. This request shall indicate the reasons for the consultations. Consultations shall be held promptly with a view to reaching a conclusion consistent with this Chapter. The Parties concerned shall give to the Joint Committee all the support and information needed. No Party shall be required to disclose information that is confidential according to its laws",0.0
175,"A Party may request consultations regarding any matter under this Chapter. The addressed Party or Parties shall promptly reply to the request and enter into 2. If a Party considers that a given practice continues to affect trade in the sense of Article 10.1 (Rules of Competition), after cooperation or consultations, it may refer the matter to the Joint Committee. The Parties involved shall give to the Joint Committee all the assistance required in order to examine the matter and, where appropriate, eliminate the practice objected to",0.0
178,"The Parties shall consult either at least once every two years, or pursuant to Article XIII.4 (Cooperation) on the written request of a Party, to consider matters regarding the operation, implementation, application or interpretation of this Chapter and to review the Parties’ measures to proscribe anticompetitive activities and the effectiveness of enforcement actions. Each Party shall designate one or more officials, including an official from each competition authority, to be responsible for ensuring that consultations, when required, occur in a timely manner",1.0
179,"If the Parties do not arrive at a mutually satisfactory resolution of a matter arising from the written request of a Party made under paragraph 1, they shall refer the matter to the Commission for consideration under Article XIII.1.2(c) (The Free Trade Commission)",1.0
180,"A Party may request consultations regarding any matter related to this Chapter. The request for consultations shall indicate the reasons for the request and whether any procedural time limit or other constraints require that consultations be expedited. Upon request of a Party, consultations shall promptly be held with a view to reaching a conclusion consistent with the objectives set forth in this Chapter. Any Party may request that consultations continue within the Joint Committee in order to obtain its recommendations in relation thereto",0.0
181,"Article 17.4 (Nondiscriminatory Treatment and Commercial Considerations), Article 17.6 (Noncommercial Assistance) and Article 17.10 (Transparency) shall not apply to any service supplied in the exercise of governmental authority.11",1.0
