,text,catlabel_x,area,catlabel_y
61,"1 refer to assets which relate to a business activity and do not refer to assets which are of a personal nature, unrelated to any business activity. (a) an enterprise; (b) shares, stocks, and other forms of equity participation in an enterprise, including rights derived therefrom; (c) bonds, debentures, loans and other debt instruments of an enterprise, including rights derived therefrom; (d) futures, options, and other derivatives; (e) rights under contracts, including turnkey, construction, management, production, concession or revenue-sharing contracts; (f) claims to money and claims to any performance under contract having an economic value; (g) intellectual property rights and goodwill; (h) rights conferred pursuant to domestic laws and regulations or contracts such as concessions, licences, authorisations and permits; and (i) other tangible or intangible, movable or immovable property, and related property rights, such as leases, mortgages, liens and pledges. investment of an investor of a party means an investment owned or controlled, directly or indirectly, by an investor of such a party; investor of a party means a party or a national or an enterprise of a party that is seeking to make, is making, or has made, investments in the territory of the other party; investor of a non-party means an investor other than an investor of a party; transfers means transfers and international payments; trims agreement means the agreement on trade-related investment measures, which is part of the wto agreement; and uncitral arbitration rules means the arbitration rules of the united nations commission on international trade law, approved by the united nations general assembly on december 15, 1976. section b - investment",investment,investment,3
62,10.2: scope and coverage,investment,investment,3
63,"this chapter applies to measures adopted or maintained by a party relating to: (a) investors of the other party; (b) investments of investors of the other party in the territory of a party; and (c) with respect to articles 10.710-3 and 10.18, all the investments in the territory of the party.",investment,investment,3
64,"this chapter applies to the existing investments at the date of the entry into force of this agreement, as well as to the investments made or acquired after this date.",investment,investment,3
65,"for the purposes of this chapter, measures adopted or maintained by a party mean measures adopted or maintained by central or local governments and authorities or by non-governmental bodies in the exercise of any regulatory, administrative or other governmental authority delegated by central or local governments and authorities.",investment,investment,3
66,"this chapter does not apply to claims arising out of events which occurred, or claims which had been raised, prior to the entry into force of this agreement.",investment,investment,3
67,"this chapter does not apply to services supplied in the exercise of governmental authority (such as law enforcement, correctional services, income security or insurance, social security10-4 or insurance, social welfare, public education, public training, health, and child care), provided that such services are supplied neither on a commercial basis, nor in competition with one or more service suppliers.",investment,investment,3
68,"10.3: relation to other chapters 10-3 this provision will be applied only when the investment of the investor of the party suffers loss through the imposition of performance requirements to an investment of investor of a non-party . 10-4 for the purpose of article 10.11, both parties agree that social security, public retirement or compulsory savings schemes run by the government, such as the central provident fund of singapore, fall within the scope of services supplied in the exercise of governmental authority",investment,investment,3
69,"in the event of any inconsistency between this chapter and another chapter in this agreement, the other chapter shall prevail to the extent of the inconsistency.",investment,investment,3
70,the requirement by a party that a service provider of the other party post a bond or other form of financial security as a condition of providing a service into its territory does not of itself make this chapter applicable to the provision of that cross-border service. this chapter applies to that party's treatment of the posted bond or financial security.,investment,investment,3
71,this chapter does not apply to measures adopted or maintained by a party to the extent that they are covered by chapter 12 (financial services) unless specified otherwise therein.,investment,investment,3
72,10.4: national treatment,investment,investment,3
73,"each party shall accord to investors of the other party treatment no less favourable than that it accords, in like circumstances, to its own investors with respect to the establishment, acquisition, expansion, management, conduct, operation, and sale or other disposition of investments in its territory.",investment,investment,3
74,"each party shall accord to investments of investors of the other party treatment no less favourable than that it accords, in like circumstances, to investments in its territory of its own investors with respect to the establishment, acquisition, expansion, management, conduct, operation, and sale or other disposition of investments.",investment,investment,3
75,"the treatment to be accorded by a party under paragraphs 1 and 2 means, with respect to a local government, treatment no less favourable than the most favourable treatment accorded, in like circumstances, by that local government to investors, and to investments of investors, of the party of which it forms a part, including itself.",investment,investment,3
76,10.5: minimum standard of treatment,investment,investment,3
77,"each party shall accord to investments of investors of the other party treatment in accordance with the customary international law minimum standard of treatment, including fair and equitable treatment and full protection and security.",investment,investment,3
78,"the concepts of fair and equitable treatment and full protection and security in paragraph 1 do not require treatment in addition to or beyond that which is required by the customary international law minimum standard of treatment of aliens and do not create additional substantive rights. (a) the obligation to provide ""fair and equitable treatment"" includes the obligation not to deny justice in criminal, civil or administrative adjudicatory proceedings. (b) the obligation to provide ""full protection and security"" requires each party to provide the level of police protection required under customary international law. (c) the ""customary international law minimum standard of treatment of aliens"" refers to all customary international law principles that protect the economic rights and interests of aliens.",investment,investment,3
79,"a determination that there has been a breach of another provision of this agreement, or of a separate international agreement, does not establish that there has been a breach of this article.",investment,investment,3
80,"10.6: access to the judicial and administrative procedures each party shall within its territory accord to investors of the other party treatment no less favourable than the treatment which it accords in like circumstances to its own investors, with respect to access to its courts of justice and administrative tribunals and agencies in all degrees of jurisdiction both in pursuit and in defence of such investors rights.",investment,investment,3
81,10.7: performance requirements,investment,investment,3
82,"neither party may impose or enforce any of the following requirements, or enforce any commitment or undertaking, in connection with the establishment, acquisition, expansion, management, conduct, operation, or sale or other disposition of an investment of an investor of a party or of a non-party in its territory: (a) to export a given level or percentage of goods or services; (b) to achieve a given level or percentage of domestic content; (c) to purchase, use or accord a preference to goods produced in its territory, or to purchase goods from persons in its territory; (d) to purchase, use or accord a preference to services provided in its territory, or to purchase services from persons in its territory; (e) to relate the volume or value of imports to the volume or value of exports or to the amount of foreign exchange inflows associated with such investment; (f) to restrict sales of goods or services in its territory that such investment produces or provides by relating such sales to the volume or value of its exports or foreign exchange earnings; (g) to transfer technology, a production process or other proprietary knowledge to a person in its territory, except when the requirement is imposed or the commitment or undertaking is enforced by a court, administrative tribunal or competition authority to remedy an alleged violation of competition law or to act in a manner not inconsistent with other provisions of this agreement; or (h) to supply exclusively from the territory of the party the goods that it produces or the services that it supplies to a specific regional market or to the world market.",investment,investment,3
83,"the provisions of paragraph 1 do not preclude either party from conditioning the receipt or continued receipt of an advantage, in connection with investment and business activities in its territory of an investor of the other party or of a non-party, on compliance with any of the requirements set forth in paragraphs 1 (d), (g) and (h).",investment,investment,3
84,"nothing in paragraph 1 shall be construed to prevent a party from conditioning the receipt or continued receipt of an advantage, in connection with an investment in its territory of an investor of a party or of a non-party, on compliance with a requirement to locate production, provide a service, train or employ workers, construct or expand particular facilities, or carry out research and development, in its territory.",investment,investment,3
85,"provided that such measures are not applied in an arbitrary or unjustifiable manner, or do not constitute a disguised restriction on international trade or investment, nothing in paragraphs 1(b), (c) or (d) shall be construed to prevent a party from adopting or maintaining measures, including environmental measures: (a) necessary to secure compliance with laws and regulations that are not inconsistent with the provisions of this agreement; (b) necessary to protect human, animal or plant life or health; or (c) necessary for the conservation of living or non-living exhaustible natural resources.",investment,investment,3
86,nothing in this article shall be construed so as to derogate from the rights and obligations of the parties under the trims agreement.,investment,investment,3
87,"this article does not preclude the application of any commitment, obligation or requirement between private parties, where a party did not impose or require such commitment, undertaking or requirement.",investment,investment,3
88,10.8: senior management and boards of directors,investment,investment,3
89,neither party may require that an enterprise of that party that is an investment of an investor of the other party appoint to senior management positions individuals of any particular nationality.,investment,investment,3
90,"a party may require that a majority of the board of directors, or any committee thereof, of an enterprise of that party that is an investment of an investor of the other party, be of a particular nationality, or resident in the territory of the party, provided that the requirement does not materially impair the ability of the investor to exercise control over its investment.",investment,investment,3
91,10.9: non-conforming measures 1,investment,investment,3
92,"s 10.4, 10.7, and 10.8 shall not apply to: (a) any existing non-conforming measure that is maintained by a party as set out in its schedule to annex 9a; (b) the continuation or prompt renewal of any non-conforming measure referred to in paragraph (a); or (c) an amendment to any non-conforming measure referred to in paragraph (a) to the extent that the amendment does not decrease the conformity of the measure, as it existed immediately before the amendment, with articles 10.4,",investment,investment,3
93,"7, and 10",investment,investment,3
94,2,investment,investment,3
95,"s 10.4, 10.7 and 10.8 shall not apply to any measure that a party adopts or maintains with respect to sectors, sub-sectors or activities, as set out in its schedule to annex 9b.",investment,investment,3
96,"neither party shall, under any measure adopted after the date of entry into force of this agreement and covered by its schedule to annex 9b, require an investor of the other party, by reason of its nationality, to sell or otherwise dispose of an investment existing at the time the measure becomes effective. 4",investment,investment,3
97,"s 10.4 and 10.8 shall not apply to: (a) government procurement by a party; or (b) subsidies or grants provided by a party, or to any conditions attached to the receipt or continued receipt of such subsidies or grants, whether or not such subsidies or grants are offered exclusively to investors of the party or investments of investors of the party, including government-supported loans, guarantees and insurance.",investment,investment,3
98,"nothing in this chapter shall be construed so as to derogate from rights and obligations under international agreements in respect of protection of intellectual property rights to which both parties are party, including the wto agreement on trade-related aspects of intellectual property rights and other treaties concluded under the auspices of the world intellectual property organization.",investment,investment,3
99,10.10: future liberalisation,investment,investment,3
100,"if a party makes any further liberalisation of the remaining restrictions scheduled in conformity with article 10.9 by an agreement with a non-party, it shall afford adequate opportunity to the other party to negotiate treatment granted therein on a mutually advantageous basis and with a view to securing an overall balance of rights and obligations.",investment,investment,3
101,"through the review mechanism pursuant to article 22.1, the parties will engage in further liberalisation with a view to reaching the reduction or elimination of the remaining restrictions scheduled in conformity with paragraphs 1 and 2 of article 10.9 on a mutually advantageous basis and securing an overall balance of rights and obligations.",investment,investment,3
102,10.11: transfers,investment,investment,3
103,"each party shall permit all transfers relating to an investment of an investor of the other party to be made freely and without delay into and out of its territory. such transfers include: (a) the initial capital and additional amounts to maintain or increase an investment; (b) profits, dividends, interest, capital gains, royalty payments, management fees, technical assistance and other fees, returns in kind and other amounts derived from the investment; (c) proceeds from the sale of all or any part of the investment or from the partial or complete liquidation of the investment; (d) payments made under a contract entered into by the investor, or its investment, including payments made pursuant to a loan agreement; (e) payments made pursuant to articles 10.13 and 10.14; and (f) payments arising under section c.",investment,investment,3
104,each party shall permit transfers prescribed in paragraph 1 to be made in a freely usable currency at the market rate of exchange prevailing at the time of transfer.,investment,investment,3
105,"notwithstanding paragraphs 1 and 2, a party may prevent a transfer through the equitable, non-discriminatory and good faith application of its laws relating to: (a) bankruptcy, insolvency or the protection of the rights of creditors; (b) issuing, trading, or dealing in securities, futures, options, or derivatives; (c) financial reporting or record keeping of transfers when necessary to assist law enforcement or financial regulatory authorities; (d) criminal or penal offences; or (e) ensuring compliance with orders or judgments in judicial or administrative proceedings.",investment,investment,3
106,10.12: safeguards,investment,investment,3
107,"a party may, subject to paragraph 2, adopt or maintain measures inconsistent with its obligation provided for in article 10.4 relating to cross-border capital transactions or",investment,investment,3
108,"10.11: (a) in the event of serious balance of payments or external financial difficulties or threat thereof; or (b) where, in exceptional circumstances, payments and capital movements between the parties because or threaten to cause serious difficulties for the operation of monetary policy or exchange rate policy in either party.",investment,investment,3
109,"the measures referred to in paragraph 1: (a) shall be consistent with the articles of agreement of the international monetary fund; (b) shall not exceed those necessary to deal with the circumstances described in paragraph 1 ; (c) shall be temporary and phased out progressively as the situation improves; (d) shall promptly be notified to the other party; (e) shall avoid unnecessary damage to the commercial, economic and financial interests of the other party; (f) shall be applied on a national treatment basis; and (g) shall ensure that the other party is treated as favourably as any non-party.",investment,investment,3
110,"measures adopted or maintained pursuant to paragraph 1(b) shall not exceed a period of six (6) months and may be extended through their formal reintroduction. in addition, a party adopting such measures or any changes shall commence consultations with the other party in order to review the restrictions adopted by it.",investment,investment,3
111,nothing in this chapter shall be regarded as affecting the rights enjoyed and obligations undertaken by a party as a party to the articles of agreement of the international monetary fund. article 10.13: expropriation and compensation,investment,investment,3
112,"neither party may, directly or indirectly, nationalise or expropriate an investment of an investor of the other party in its territory, except: (a) for a public purpose; (b) on a non-discriminatory basis; (c) in accordance with due process of law and article 10.6 ; and (d) on payment of compensation in accordance with paragraphs 2, 3 and 4.",investment,investment,3
113,"compensation shall: (a) be paid without delay and be fully realisable; (b) be equivalent to the fair market value of the expropriated investment immediately before the expropriation took place (""date of expropriation""); and (c) not reflect any change in value occurring because the intended expropriation had become known earlier.",investment,investment,3
114,"if the fair market value is denominated in a freely usable currency, the compensation paid shall be no less than the fair market value on the date of expropriation, plus interest at a commercially reasonable rate for that currency, accrued from the date of expropriation until the date of payment.",investment,investment,3
115,"if the fair market value is denominated in a currency that is not freely usable, the compensation paid  converted into the currency of payment at the market rate of exchange prevailing on the date of payment  shall be no less than: (a) the fair market value on the date of expropriation, converted into a freely usable currency at the market rate of exchange prevailing on that date, plus (b) interest, at a commercially reasonable rate for that freely usable currency, accrued from the date of expropriation until the date of payment.",investment,investment,3
116,"notwithstanding paragraphs 1, 2, 3 and 4, any measure of expropriation relating to land, which shall be as defined in the existing domestic legislation of the expropriating party on the date of entry into force of this agreement, shall be, for a purpose and upon payment of compensation, in accordance with the aforesaid legislation and any subsequent amendments thereto relating to the amount of compensation where such amendments follow the general trends in the market value of the land10-5.",investment,investment,3
117,"this article does not apply to the issuance of compulsory licences granted in relation to intellectual property rights in accordance with the trips agreement, or to the revocation, limitation, or creation of intellectual property rights, to the extent that such issuance, revocation, limitation, or creation is consistent with chapter 17 (intellectual property rights).",investment,investment,3
118,10.14: losses and compensation,investment,investment,3
119,"investors of a party whose investments suffer losses owing to war or other armed conflict, a state of national emergency, revolt, insurrection, riot or other similar situations, and such losses as ones resulting from requisition or destruction of property, which was not caused in combat action or was not required by the necessity of the situation, in the territory of the other party, shall be accorded by the other party, treatment, as regards restitution, indemnification, compensation or other forms of settlement, no less favourable than that which the other party accords to its own investors or to investors of any non-party, whichever is more favourable to the investors concerned.",investment,investment,3
120,"paragraph 1 does not apply to existing measures relating to subsidies or grants, or to any conditions attached to the receipt or continued receipt of such subsidies or grants, whether or not such subsidies or grants are offered exclusively to investors of the party or investments of investors of the party, including government-supported loans, guarantees and insurance, that would be inconsistent with article 10.4 but for paragraph 4(b) of article 10",investment,investment,3
121,,investment,investment,3
122,10.15: subrogation,investment,investment,3
123,"where a party or an agency authorised by that party has granted a contract of insurance or any form of financial guarantee against non-commercial risks with regard to an investment by one of its investors in the territory of the other party and when 10-5 article 10.13 is to be interpreted in accordance with and is subjected to the letter exchange on expropriation. payment has been made under this contract or financial guarantee by the former party or the agency authorised by it, the latter party shall recognise the rights of the former party or the agency authorised by the party by virtue of the principle of subrogation to the rights of the investor.",investment,investment,3
124,"where a party or the agency authorised by the party has made a payment to its investor and has taken over rights and claims of the investor, that investor shall not, unless authorised to act on behalf of the party or the agency authorised by the party, making the payment, pursue those rights and claims against the other party. 3",investment,investment,3
125,"s 10.11, 10.13 and 10.14 shall apply mutatis mutandis as regards payment to be made to the party or the agency prescribed in paragraphs 1 and 2 by virtue of such recognition of rights and claims, and the transfer of such payment.",investment,investment,3
126,10.16: special formalities and information requirements,investment,investment,3
127,"nothing in article 10.4 shall be construed to prevent a party from adopting or maintaining a measure that prescribes special formalities in connection with the establishment of investments by investors of the other party, such as the requirement that investments be legally constituted under the laws or regulations of the party, provided that such formalities are consistent with this chapter and do not materially impair the protections pursuant to this chapter afforded by a party to investors of the other party and investments of investors of the other party .",investment,investment,3
128,"notwithstanding article 10.4, a party may require an investor of the other party, or an investment of the investor in its territory, to provide routine information concerning that investment solely for informational or statistical purposes. the party shall protect such business information that is confidential from any disclosure that would prejudice the competitive position of the investor or the investment. nothing in this paragraph shall be construed to prevent a party from otherwise obtaining or disclosing information in connection with the equitable and good faith application of its law. article 10.17: denial of benefits subject to prior notification and consultation in accordance with articles 19.3 and 20.4, a party may deny the benefits of this chapter to an investor of the other party that is an enterprise of such other party and to investments of that investor if investors of a non-party own or control the enterprise and the enterprise has no substantive business operations in the territory of the other party under whose law it is constituted or organised.",investment,investment,3
129,"10.18: environmental measures nothing in this chapter shall be construed to prevent a party from adopting, maintaining or enforcing any measure otherwise consistent with this chapter that it considers appropriate to ensure that investment activity in its territory is undertaken in a manner sensitive to environmental concerns. section c - settlement of disputes between a party and an investor of the other party",investment,investment,3
130,10. 19: settlement of disputes between a party and an investor of the other party,investment,investment,3
131,this article shall apply to disputes between a party and an investor of the other party concerning an alleged breach of an obligation of the former under this chapter which causes loss or damage to the investor or its investment and establishes a mechanism for the settlement of investment disputes that assures both equal treatment among investors of the parties in accordance with the principle of international reciprocity and due process before an impartial tribunal.,investment,investment,3
132,the parties to the dispute shall initially seek to resolve the dispute by consultations and negotiations.,investment,investment,3
133,"if the dispute cannot be resolved as provided for under paragraph 2 within six (6) months from the date of a request for consultations and negotiations, and if the investor concerned has not submitted the investment dispute for resolution (a) before the courts or administrative tribunals of the disputing party (excluding proceedings for interim measures of protection referred to in paragraph 5), or (b) in accordance with any previously agreed dispute settlement procedures, the investor concerned may submit the dispute for settlement to: (a) the international centre for settlement of investment disputes (icsid), if both parties are parties to the icsid convention; (b) arbitration under uncitral arbitration rules; or (c) any other arbitral institution or in accordance with any other arbitral rules, if the parties to the dispute so agree.",investment,investment,3
134,"each party hereby consents to the submission of a dispute to arbitration under paragraphs 3(a) and 3(b) in accordance with the provisions of this article, conditional upon: (a) the submission of the dispute to such arbitration taking place within three (3) years of the time at which the disputing investor became aware, or should reasonably have become aware, of a breach of an obligation under this chapter and, of the loss or damage incurred by the disputing investor or its investment; (b) the disputing investor not being an enterprise of the disputing party until the disputing investor refers the dispute for arbitration pursuant to paragraph 3; and (c) the disputing investor providing written notice, which shall be delivered at least ninety (90) days before the claim to arbitration is submitted, to the disputing party of its intent to submit the dispute to such arbitration and which: (i) nominates one (1) of the fora in paragraph 3(a), (b) or (c) as the forum for dispute settlement; (ii) briefly summarises the alleged breach of the disputing party under this chapter (including the articles alleged to have been breached) and the loss or damage allegedly caused to the investor or its investment.",investment,investment,3
135,"neither party shall prevent the disputing investor from seeking interim measures of protection, not involving the payment of damages or resolution of the substance of the matter in dispute before the courts or administrative tribunals of the disputing party, prior to the institution of proceedings before any of the dispute settlement fora referred to in paragraph 3, for the preservation of its rights and interests.",investment,investment,3
136,"neither party shall give diplomatic protection, or bring an international claim, in respect of a dispute which one of its investors and the other party shall have consented to submit or have submitted to arbitration under this article, unless such other party has failed to abide by and comply with the award rendered in such dispute. diplomatic protection, for the purposes of this paragraph, shall not include informal diplomatic exchanges for the sole purpose of facilitating a settlement of the dispute.",investment,investment,3
